m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23,29,31",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23,29,31",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13,17,19,23,29,31",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13,17,19,23,29,31",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13,17,19,23,29,31",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7,17,19,23,29,31",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11,17,19,23,29,31",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31",
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31",
15,3,"2,3,5,17",2^4 * 3^1 * 5^1 * 17^1,0,"7,11,13,19,23,29,31",
16,3,"2,3,17",2^5 * 3^2 * 17^1,0,"5,7,11,13,19,23,29,31",
17,3,"2,3,17,19",2^1 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23,29,31",
18,3,"2,3,5,19",2^3 * 3^2 * 5^1 * 19^1,0,"7,11,13,17,23,29,31",
19,3,"2,3,5,7,19",2^2 * 3^1 * 5^1 * 7^1 * 19^1,0,"11,13,17,23,29,31",
20,3,"2,3,5,7,11",2^3 * 3^1 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31",
21,3,"2,3,7,11,23",2^1 * 3^1 * 7^1 * 11^1 * 23^1,0,"5,13,17,19,29,31",
22,3,"2,3,11,23",2^4 * 3^1 * 11^1 * 23^1,0,"5,7,13,17,19,29,31",
23,3,"2,3,5,23",2^3 * 3^1 * 5^2 * 23^1,0,"7,11,13,17,19,29,31",
24,3,"2,3,5,13",2^4 * 3^1 * 5^2 * 13^1,0,"7,11,17,19,23,29,31",
25,3,"2,3,5,13",2^1 * 3^3 * 5^2 * 13^1,0,"7,11,17,19,23,29,31",
26,3,"2,3,7,13",2^3 * 3^3 * 7^1 * 13^1,0,"5,11,17,19,23,29,31",
27,3,"2,3,7,29",2^2 * 3^3 * 7^1 * 29^1,0,"5,11,13,17,19,23,31",
28,3,"2,3,5,7,29",2^3 * 3^1 * 5^1 * 7^1 * 29^1,0,"11,13,17,19,23,31",
